user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
0,4,0.6599999740719795,0.8695275783538818,10.0,0.0,0.0,0.0,0.0,0.0,0.0,822.25,572.25,-250.0,Q2
1,4,0.799999974668026,0.8854811787605286,10.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,333.0,248.5,Q3
2,4,0.4424999840557575,0.8756950497627258,10.0,0.0,0.0,0.0,0.0,0.0,0.0,955.25,508.0,-447.25,Q1
3,4,0.8149999678134918,0.8849571794271469,10.0,0.0,0.0,0.0,0.0,0.0,0.0,202.75,81.0,-121.75,Q3
4,4,0.6724999845027924,0.8674933314323425,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.5,1070.75,-18.75,Q2
5,4,0.9349999874830246,0.8924993276596069,10.0,0.08905179798603058,0.15773244202136993,-0.06868064403533936,0.25,0.25,0.0,372.25,1340.75,968.5,Q4
6,4,0.9587499797344208,0.9037625640630722,10.0,0.0,0.38773109018802643,-0.38773109018802643,0.0,0.75,-0.75,100.5,7.5,-93.0,Q4
7,4,0.8174999728798866,0.8785886317491531,10.0,0.08905179798603058,0.2365986630320549,-0.14754686504602432,0.25,0.5,-0.25,14.5,60.75,46.25,Q3
8,4,0.5849999971687794,0.885465681552887,10.0,0.10766914486885071,0.0,0.10766914486885071,0.25,0.0,0.25,78.5,13.5,-65.0,Q1
9,4,0.7399999871850014,0.8712383806705475,10.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,141.0,-192.0,Q2
10,4,0.875,0.8984615951776505,10.0,0.125,0.3133319839835167,-0.1883319839835167,0.25,0.75,-0.5,128.0,11.25,-116.75,Q4
11,4,0.7324999943375587,0.8698587417602539,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,279.75,812.5,532.75,Q2
12,4,0.929999977350235,0.8886026442050934,10.0,0.15773244202136993,0.34671320766210556,-0.18898076564073563,0.25,0.5,-0.25,204.5,476.75,272.25,Q4
13,4,0.7274999842047691,0.8913718312978745,10.0,0.08905179798603058,0.2365986630320549,-0.14754686504602432,0.25,0.5,-0.25,83.0,103.0,20.0,Q2
14,4,0.8949999809265137,0.8905075788497925,10.0,0.07886622101068497,0.375,-0.29613377898931503,0.25,0.5,-0.25,59.5,29.25,-30.25,Q4
15,4,0.8299999684095383,0.8959096670150757,10.0,0.0,0.2299986481666565,-0.2299986481666565,0.0,0.5,-0.5,478.25,50.75,-427.5,Q3
16,4,0.7199999690055847,0.8901498764753342,10.0,0.07525750249624252,0.125,-0.04974249750375748,0.25,0.25,0.0,109.25,33.25,-76.0,Q2
17,4,0.8274999856948853,0.8978913873434067,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,146.25,63.25,-83.0,Q3
18,4,0.7149999961256981,0.8843817263841629,10.0,0.15773244202136993,0.125,0.032732442021369934,0.25,0.25,0.0,123.75,59.0,-64.75,Q2
19,4,0.8212499916553497,0.8979131728410721,10.0,0.07226620614528656,0.2467842400074005,-0.17451803386211395,0.25,0.5,-0.25,80.0,10.0,-70.0,Q3
20,4,0.7999999821186066,0.8894447386264801,10.0,0.125,0.15773244202136993,-0.032732442021369934,0.25,0.25,0.0,32.0,72.25,40.25,Q3
21,4,0.6224999874830246,0.897181361913681,10.0,0.0,0.0,0.0,0.0,0.0,0.0,937.25,1067.5,130.25,Q1
22,4,0.5849999822676182,0.8885631859302521,10.0,0.0,0.0,0.0,0.0,0.0,0.0,678.5,208.75,-469.75,Q1
23,4,0.5049999728798866,0.8636476844549179,10.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,700.5,-192.5,Q1
24,4,0.7899999916553497,0.8838205188512802,10.0,0.0833333358168602,0.15773244202136993,-0.07439910620450974,0.25,0.25,0.0,273.0,180.25,-92.75,Q3
25,4,0.9249999672174454,0.8958733379840851,10.0,0.0833333358168602,0.15773244202136993,-0.07439910620450974,0.25,0.25,0.0,250.75,116.75,-134.0,Q4
26,4,0.5024999789893627,0.8805875033140182,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,599.5,371.25,-228.25,Q1
27,4,0.8174999803304672,0.8754921704530716,10.0,0.125,0.08905179798603058,0.03594820201396942,0.25,0.25,0.0,677.5,1101.5,424.0,Q3
28,4,0.752499982714653,0.8899168521165848,10.0,0.0,0.0,0.0,0.0,0.0,0.0,900.25,831.5,-68.75,Q2
29,4,0.8324999660253525,0.8949421346187592,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,77.25,40.0,-37.25,Q3
30,4,0.8049999922513962,0.8912808448076248,10.0,0.0,0.17810359597206116,-0.17810359597206116,0.0,0.5,-0.5,321.75,34.25,-287.5,Q3
31,4,0.8749999701976776,0.8911870270967484,10.0,0.15773244202136993,0.15773244202136993,0.0,0.25,0.25,0.0,145.75,227.25,81.5,Q4
32,4,0.8174999877810478,0.895129069685936,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,818.75,526.75,-292.0,Q3
