user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
0,4,0.3149999896995723,0.8793451189994812,10.0,0.0833333358168602,0.07226620614528656,0.011067129671573639,0.25,0.25,0.0,1250.75,628.25,-622.5,Q1
1,4,0.9099999815225601,0.8995905965566635,10.0,0.0,0.3252575024962425,-0.3252575024962425,0.0,0.5,-0.5,96.0,56.5,-39.5,Q4
2,4,0.4849999938160181,0.8875641375780106,10.0,0.0,0.0,0.0,0.0,0.0,0.0,230.25,278.75,48.5,Q2
3,4,0.6849999772384763,0.8814119845628738,10.0,0.0,0.0,0.0,0.0,0.0,0.0,594.5,227.0,-367.5,Q3
4,4,0.5687499837949872,0.9051751494407654,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,3787.75,3236.0,-551.75,Q2
5,4,0.6074999868869781,0.877197653055191,10.0,0.0,0.24465133994817734,-0.24465133994817734,0.0,0.75,-0.75,106.75,72.25,-34.5,Q3
6,4,0.3749999925494194,0.8868360072374344,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.0,333.5,-771.5,Q1
7,4,0.8074999749660492,0.896350547671318,10.0,0.0,0.0,0.0,0.0,0.0,0.0,829.25,1416.75,587.5,Q4
8,4,0.7199999839067459,0.8943755328655243,10.0,0.07226620614528656,0.0,0.07226620614528656,0.25,0.0,0.25,750.25,850.0,99.75,Q4
9,4,0.4062499962747097,0.8883235901594162,10.0,0.07886622101068497,0.0,0.07886622101068497,0.25,0.0,0.25,226.0,282.25,56.25,Q1
10,4,0.4049999862909317,0.879522368311882,10.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,294.0,-558.0,Q1
11,4,0.7799999713897705,0.9087462574243546,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4257.75,2606.0,-1651.75,Q4
12,4,0.7049999833106995,0.8928183019161224,10.0,0.0,0.0,0.0,0.0,0.0,0.0,833.5,436.25,-397.25,Q4
13,4,0.7474999874830246,0.9019497185945511,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.5,948.0,-319.5,Q4
14,4,0.7924999892711639,0.901796355843544,10.0,0.0,0.0,0.0,0.0,0.0,0.0,859.25,701.0,-158.25,Q4
15,4,0.42499998211860657,0.8854043930768967,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3325.25,1844.25,-1481.0,Q1
16,4,0.3737499937415123,0.8861368596553802,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.0,452.0,-1994.0,Q1
17,4,0.586249977350235,0.8735193163156509,10.0,0.0,0.0,0.0,0.0,0.0,0.0,481.75,382.75,-99.0,Q3
18,4,0.6874999776482582,0.8888949006795883,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2459.0,1197.0,-1262.0,Q3
19,4,0.2924999878741801,0.8722581565380096,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.75,1178.75,-25.0,Q1
20,4,0.7649999856948853,0.8754563480615616,10.0,0.0,0.0,0.0,0.0,0.0,0.0,516.5,306.5,-210.0,Q4
21,4,0.537499975413084,0.8832503259181976,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.75,3377.5,125.75,Q2
22,4,0.5312499850988388,0.8873102962970734,10.0,0.0,0.0,0.0,0.0,0.0,0.0,318.75,269.25,-49.5,Q2
23,4,0.6599999740719795,0.8929827213287354,10.0,0.08905179798603058,0.10766914486885071,-0.01861734688282013,0.25,0.25,0.0,346.5,41.5,-305.0,Q3
24,4,0.4374999888241291,0.881523460149765,10.0,0.0,0.0,0.0,0.0,0.0,0.0,415.75,809.5,393.75,Q1
25,4,0.4924999913200736,0.8852065354585648,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,147.25,313.0,165.75,Q2
26,4,0.6324999928474426,0.8810981512069702,10.0,0.2299986481666565,0.0,0.2299986481666565,0.5,0.0,0.5,1405.5,1116.0,-289.5,Q3
27,4,0.629999965429306,0.8920048326253891,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.25,927.0,-142.25,Q3
28,4,0.7562499791383743,0.8901118338108063,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,1463.5,174.5,Q4
29,4,0.5799999739974737,0.8987316936254501,10.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,571.25,-291.75,Q2
30,4,0.6824999898672104,0.8984906673431396,10.0,0.0,0.07886622101068497,-0.07886622101068497,0.0,0.25,-0.25,3765.25,1272.0,-2493.25,Q3
31,4,0.8799999952316284,0.9110583364963531,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.0,843.25,-588.75,Q4
32,4,0.7449999749660492,0.8754296600818634,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.5,135.75,-1012.75,Q4
33,4,0.4062499962747097,0.8789654672145844,10.0,0.08905179798603058,0.2365986630320549,-0.14754686504602432,0.25,0.5,-0.25,1325.0,1584.5,259.5,Q1
34,4,0.6062499955296516,0.8894821554422379,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.75,1522.75,-983.0,Q3
35,4,0.5024999752640724,0.890685573220253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.75,573.75,-718.0,Q2
36,4,0.7274999842047691,0.9023147374391556,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.5,112.0,-1101.5,Q4
37,4,0.8362499624490738,0.8905581533908844,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,784.75,482.25,-302.5,Q4
38,4,0.617499977350235,0.9069641828536987,10.0,0.0,0.0,0.0,0.0,0.0,0.0,487.5,442.5,-45.0,Q3
39,4,0.574999988079071,0.9153189063072205,10.0,0.0,0.0,0.0,0.0,0.0,0.0,863.25,983.75,120.5,Q2
40,4,0.7124999910593033,0.9010684192180634,10.0,0.0,0.125,-0.125,0.0,0.25,-0.25,3709.25,3672.25,-37.0,Q4
41,4,0.3962499871850014,0.8769639283418655,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.25,670.0,-340.25,Q1
42,4,0.4274999862536788,0.8938386738300323,10.0,0.0,0.0,0.0,0.0,0.0,0.0,780.5,1390.75,610.25,Q1
43,4,0.34500000439584255,0.8758412301540375,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,813.25,220.25,-593.0,Q1
44,4,0.591249980032444,0.8671587407588959,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.5,1899.25,-1055.25,Q3
45,4,0.29749999195337296,0.8782850205898285,10.0,0.15773244202136993,0.0,0.15773244202136993,0.25,0.0,0.25,2771.0,2960.0,189.0,Q1
46,4,0.5649999948218465,0.8810189068317413,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,2379.0,684.25,-1694.75,Q2
47,4,0.699999988079071,0.8801499903202057,10.0,0.0,0.0,0.0,0.0,0.0,0.0,992.75,1062.75,70.0,Q4
48,4,0.6249999850988388,0.875865250825882,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4184.75,2731.0,-1453.75,Q3
49,4,0.5599999986588955,0.8722891360521317,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.25,1444.25,385.0,Q2
50,4,0.7399999909102917,0.8760615289211273,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.5,1722.75,-220.75,Q4
51,4,0.45374999567866325,0.8886270821094513,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.0,3704.25,689.25,Q1
52,4,0.6399999707937241,0.8790848702192307,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3396.0,2356.75,-1039.25,Q3
53,4,0.7799999713897705,0.8827788382768631,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.5,941.5,-1110.0,Q4
54,4,0.3749999813735485,0.8888419717550278,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2783.0,846.75,-1936.25,Q1
55,4,0.5824999921023846,0.9008225947618484,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2157.0,2506.75,349.75,Q3
56,4,0.8774999678134918,0.8904455751180649,10.0,0.07226620614528656,0.1910024806857109,-0.11873627454042435,0.25,0.5,-0.25,42.0,12.0,-30.0,Q4
57,4,0.7399999797344208,0.8930693119764328,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.75,727.25,-587.5,Q4
58,4,0.8124999850988388,0.8880573213100433,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.5,1426.75,297.25,Q4
59,4,0.47749996930360794,0.8789723068475723,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.75,1672.75,-202.0,Q2
60,4,0.6874999701976776,0.9044015258550644,10.0,0.0,0.0,0.0,0.0,0.0,0.0,392.25,327.0,-65.25,Q3
61,4,0.9699999839067459,0.8842678070068359,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2087.75,1627.25,-460.5,Q4
62,4,0.742499990388751,0.9034078866243362,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3029.5,1990.5,-1039.0,Q4
63,4,0.5474999845027924,0.9006225019693375,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.25,4134.75,1795.5,Q2
64,4,0.6237499862909317,0.8761787414550781,10.0,0.0,0.0,0.0,0.0,0.0,0.0,945.75,946.0,0.25,Q3
65,4,0.4374999925494194,0.8814950734376907,10.0,0.0,0.0,0.0,0.0,0.0,0.0,574.75,627.25,52.5,Q1
