u_hi,width,phi_Steam,phi_ATG,phi_Beauty,phi_ML1M,ml1m_closed,steam_open,harm_admitted,gain_admitted,is_frozen_point
0.6,0.05,0.6087,0.0,0.0,0.0,1,1,0.0,0.003888,0
0.6,0.1,0.3043,0.0,0.0,0.0,1,0,0.0,0.001944,0
0.6,0.15,0.2029,0.0,0.0,0.0,1,0,0.0,0.001296,0
0.6,0.2,0.1522,0.0,0.0,0.0,1,0,0.0,0.000972,0
0.61,0.05,0.8087,0.0,0.0,0.0,1,1,0.0,0.005166,0
0.61,0.1,0.4043,0.0,0.0,0.0,1,0,0.0,0.002583,0
0.61,0.15,0.2696,0.0,0.0,0.0,1,0,0.0,0.001722,0
0.61,0.2,0.2022,0.0,0.0,0.0,1,0,0.0,0.001291,0
0.62,0.05,1.0,0.0,0.0,0.0,1,1,0.0,0.006388,0
0.62,0.1,0.5043,0.0,0.0,0.0,1,1,0.0,0.003222,0
0.62,0.15,0.3362,0.0,0.0,0.0,1,0,0.0,0.002148,0
0.62,0.2,0.2522,0.0,0.0,0.0,1,0,0.0,0.001611,0
0.63,0.05,1.0,0.0,0.0,0.0,1,1,0.0,0.006388,0
0.63,0.1,0.6043,0.0,0.0,0.0,1,1,0.0,0.003861,0
0.63,0.15,0.4029,0.0,0.0,0.0,1,0,0.0,0.002574,0
0.63,0.2,0.3022,0.0,0.0,0.0,1,0,0.0,0.00193,0
0.64,0.05,1.0,0.0,0.0,0.0,1,1,0.0,0.006388,0
0.64,0.1,0.7043,0.0,0.0,0.0,1,1,0.0,0.004499,0
0.64,0.15,0.4696,0.0,0.0,0.0,1,0,0.0,0.003,0
0.64,0.2,0.3522,0.0,0.0,0.0,1,0,0.0,0.00225,0
0.65,0.05,1.0,0.0,0.0,0.0,1,1,0.0,0.006388,0
0.65,0.1,0.8043,0.0,0.0,0.0,1,1,0.0,0.005138,0
0.65,0.15,0.5362,0.0,0.0,0.0,1,1,0.0,0.003425,0
0.65,0.2,0.4022,0.0,0.0,0.0,1,0,0.0,0.002569,0
0.66,0.05,1.0,0.0,0.0,0.0,1,1,0.0,0.006388,0
0.66,0.1,0.9043,0.0,0.0,0.0,1,1,0.0,0.005777,0
0.66,0.15,0.6029,0.0,0.0,0.0,1,1,0.0,0.003851,0
