dataset,arm,artifact_role,selected_checkpoint,selector_metric,selector_source,best_step,best_metric,test_p2_hr10,test_p2_ndcg10,test_p5_hr10,test_p5_ndcg10,test_p10_hr10,test_p10_ndcg10,summary_path,summary_sha256,checkpoint_sha256,manifest_path,manifest_sha256,provenance_git_head,provenance_repo_root,random_seed,split_hash,bank_hash,selection_evidence_path,selection_evidence_sha256,metric_contract,e0_artifact_id,e0_binding,e0_corrected_hr10,e0_corrected_ndcg10
Steam,host,frozen_host,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/checkpoint_adaptive_best.pth,validation_p2_ndcg10,log,27000,0.0146408700992488,0.029749503968254,0.0128958071557127,0.0302579365079365,0.0134969766449635,0.0307043650793651,0.0143765941649742,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/best_summary_adaptive.json,232a8aa9639fd466621a76456498999fe2527367c54067f4291367f0a8a21bc2,091c2587336c371ff62c0332b5a41df44eaab0bc067b6545fbdc1d8c3cef0ec4,NA,NA,NA,NA,NA,NA,NA,/data/Zijian/goal/RecDemo/logs/steam_adaptive_earlystop.log,d5ff630dd4df2583c009a2f8da2bb8f251f6d054cc5fdfb5541edf178033fa10,archived_best_summary_legacy_tail_skip,host_steam,bound,0.0295718589974086,0.012840503867478
Steam,full,frozen_full,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,66000,0.0166329934116946,0.034858630952381,0.0149110094568307,0.0343625992063492,0.0151400319447493,0.0340649801587302,0.0161657048436365,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,9cc41edd403b909f8f73ba92109e4c89582494579255e115e6132f084d66f69f,ca022e9cb4648617da0ba98db8c960ff78f018a1f98d6b2bf75a2b013f14cd5d,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,a3c6bbfe2c96d1f9d8d9bc851debb3be6f98267b777a08812cf24bf96ab48478,b2c796f18b4bce671f83b809742f82a98057a34f,/data/Zijian/goal/RecDemo_clean_main,100,a0e0a7e03cb0823386da7f0832f595253633014dd50f64fc63c2d431d0f84006,78fed57c4afba29031624357ad7b8e543aa20a0b06b3373e69525625e6e78023,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,a3c6bbfe2c96d1f9d8d9bc851debb3be6f98267b777a08812cf24bf96ab48478,archived_best_summary_legacy_tail_skip,ours_full_steam,bound,0.0351266568300455,0.0149828103803032
Steam,u_shuffle,frozen_control,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,50000,0.0155773436678646,0.031969246031746,0.0138342611558862,0.031547619047619,0.0139561102623898,0.0311631944444444,0.0151413791907229,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,2530ae3e0a81b191d329b11047a3aa903cdfaca5998536d61d29b7ec07a20b0f,cc56e8dc878a93efb0372a3419d80123fcd8438b748415dd9272982a8a2b2bb5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/frozen_run_manifest.json,4647783c986e2cb998d24b734cd08fe0e566cd333b3299c99a8285393876b921,74a7ea14944d4d85ee81da82664a1b1f674f674e,/data/Zijian/goal/RecDemo_clean_main,100,a0e0a7e03cb0823386da7f0832f595253633014dd50f64fc63c2d431d0f84006,78fed57c4afba29031624357ad7b8e543aa20a0b06b3373e69525625e6e78023,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/frozen_run_manifest.json,4647783c986e2cb998d24b734cd08fe0e566cd333b3299c99a8285393876b921,archived_best_summary_legacy_tail_skip,u_shuffle_steam,bound,0.0330188094381967,0.0142157013492352
Steam,text_anchor_only,frozen_control,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,143000,0.0311040855872859,0.06875,0.0301806370206853,0.0693080357142857,0.0320281214126964,0.0692584325396825,0.0355421845607946,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,895f8fed4f884e34f1e3a2135513870358b77209bf19d5f5b88c63037c315ad4,090e0e90ebae53bd5cab43c34d70972cc538c7d4c98450d6c7f9d8d188cbea1f,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/frozen_run_manifest.json,cf950d323a78490a575247baa862d9cae1f863361d7e375006a64976f62f5062,74a7ea14944d4d85ee81da82664a1b1f674f674e,/data/Zijian/goal/RecDemo_clean_main,100,a0e0a7e03cb0823386da7f0832f595253633014dd50f64fc63c2d431d0f84006,78fed57c4afba29031624357ad7b8e543aa20a0b06b3373e69525625e6e78023,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/frozen_run_manifest.json,cf950d323a78490a575247baa862d9cae1f863361d7e375006a64976f62f5062,archived_best_summary_legacy_tail_skip,text_anchor_only_steam,bound,0.0686042330535269,0.0300036492100154
Steam,global_p,frozen_control,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,40000,0.0156519112589964,0.0306175595238095,0.0132437625525773,0.0314856150793651,0.013868768330687,0.0315600198412698,0.0151337721007417,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,4f4066a69f1a27a1951aec316525af2297653dadc1abe7676aaf5f84e79099c4,25cfce9efe56c1b32aad3b36bbdd619b09fe4b984fb83c31223cd71c5231c4a6,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/frozen_run_manifest.json,8ed06fed4bb380ccb16a8f3c46b043c16db2519d2bc754029dc38c1a590ffb6b,74a7ea14944d4d85ee81da82664a1b1f674f674e,/data/Zijian/goal/RecDemo_clean_main,100,a0e0a7e03cb0823386da7f0832f595253633014dd50f64fc63c2d431d0f84006,78fed57c4afba29031624357ad7b8e543aa20a0b06b3373e69525625e6e78023,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/frozen_run_manifest.json,8ed06fed4bb380ccb16a8f3c46b043c16db2519d2bc754029dc38c1a590ffb6b,archived_best_summary_legacy_tail_skip,global_p_steam,bound,0.0310473521717028,0.0134084001959293
ML1M,host,frozen_host,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/checkpoint_hybrid_best.pth,validation_p2_ndcg10,log,302000,0.0958417658961987,0.165341122372372,0.0910217532578437,0.182526276276276,0.0999238750167939,0.186502909159159,0.102170742343752,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/best_summary_hybrid.json,59d3adebdf82a9dcb4062e479a3c3635afbf057cbec2d3e25e27fb7194dd027a,1d08f1f65f08b6f4e819504caa850e47fdd075913a93ffa390e85917e6316b09,NA,NA,NA,NA,NA,NA,NA,/data/Zijian/goal/RecDemo/logs/ml1m_hybrid_earlystop.log,1c875c027a6ed0ca550f942fae5e54d3c890a4f1829a33489a854aed7b2531be,archived_best_summary_legacy_tail_skip,host_ml1m,bound,0.165224518470816,0.0909362185902021
ML1M,full,frozen_full,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,405000,0.0951751610020026,0.168883727477477,0.0758887081871195,0.180062875375375,0.088931624328109,0.178643487237237,0.0955967131461645,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/best_summary_proposal_adaptive.json,3f64d85d9599994fd5de20cf4ba8ba92c239163de58115e874efe48f5a0cf9b4,e1bdf6555040d7588d56ad8191bb42f42dad529f1573b67fcbb2628b52dc0d30,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/frozen_run_manifest.json,47e6a85b841df4bc0069758c1dadf5b3469715f2d90273bbb5a48b4386e283f3,b2c796f18b4bce671f83b809742f82a98057a34f,/data/Zijian/goal/RecDemo_clean_main,100,7895e743467fd60060127264894250a0502d94028e84441400aa14dfd9118576,76fcfc25668145bfbaba194f2f0f652acda0c424363f689f35bb653eb525497d,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/frozen_run_manifest.json,47e6a85b841df4bc0069758c1dadf5b3469715f2d90273bbb5a48b4386e283f3,archived_best_summary_legacy_tail_skip,ours_full_ml1m,bound,0.169299221357063,0.0760856856087867
Beauty,host,frozen_host,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/checkpoint_adaptive_best.pth,validation_p2_ndcg10,log,20000,0.0183658136483021,0.05224609375,0.0332948578036781,0.05126953125,0.0415990987190079,0.04931640625,0.0405393268224851,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/best_summary_adaptive.json,2071d281cb33fe18f26e03dbc5e84592d233fc731bd24e1c21c3ad11c05b211a,7861123831ed496c5019cb9959793ceff3e8d3096ecffee179e701f91c8fadfd,NA,NA,NA,NA,NA,NA,NA,/data/Zijian/goal/RecDemo/logs/beauty_adaptive_earlystop.log,3ff9b94ff29fd7313f3c40bbe7378ac166efe04b177ca45747c507b7eac9ae52,archived_best_summary_legacy_tail_skip,host_beauty,bound,0.0500670540902995,0.0316029815484733
Beauty,full,frozen_full,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,18000,0.0245327507777676,0.052734375,0.0294359713347218,0.05029296875,0.0420298090977324,0.04736328125,0.0402986774632389,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,6f64444d72a72a44a0e08b5ab588d1629676c000bea5f56cb424d8dda11c969e,a6dcfa0de9e234b1eed7ff4d5a653f4fc3619da70a334f7e5f32b33d9546f588,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,1b8f35e3c122ef8700ab6a1ffd024c8ed7e4471dc0d72ac154cc5ffa59e14ee2,b2c796f18b4bce671f83b809742f82a98057a34f,/data/Zijian/goal/RecDemo_clean_main,100,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,591e4f4ee24160becd190f2b5279a48a351004ff6fd09f228473188a182b5d9b,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,1b8f35e3c122ef8700ab6a1ffd024c8ed7e4471dc0d72ac154cc5ffa59e14ee2,archived_best_summary_legacy_tail_skip,ours_full_beauty,bound,0.0500670540902995,0.0278981144017881
Beauty,u_shuffle,frozen_control,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,validation_p5_ndcg10,manifest,20000,0.023318789053729,0.052734375,0.0330038892699236,0.05126953125,0.0421279328600941,0.04736328125,0.0403166632355644,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,286d97126913d5508b0d54696d0cc73ed742be1f96b183b0d550760399157628,109d1411484ccba361f7ad8d3e065eb5b2867b6f21a1e001480c8b828c68644a,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/frozen_run_manifest.json,73d9426b5b3034a01fc26dc4a1ded16858e2c2f80850925f859e4c0e29815f29,74a7ea14944d4d85ee81da82664a1b1f674f674e,/data/Zijian/goal/RecDemo_clean_main,100,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,591e4f4ee24160becd190f2b5279a48a351004ff6fd09f228473188a182b5d9b,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/frozen_run_manifest.json,73d9426b5b3034a01fc26dc4a1ded16858e2c2f80850925f859e4c0e29815f29,archived_best_summary_legacy_tail_skip,u_shuffle_beauty,bound,0.0509611086276263,0.0316064362896445
